key,buy_high_min,buy_high_max,sector_high_min,sector_high_max,volume_z_min,fear_lookback,fear_threshold,volume_lookback,low_count_min,arm_window,exit_atr,max_positions,sectors,in_signals,in_median,in_mdd,in_calmar,out_median,out_mdd,out_calmar,win_pct
h12_z0.5_f5_p5,1,2,2,2,0.5,5,40.0,20,9,0,2.0,5,default54,661,-8.85,-39.54,-0.092,-12.47,-22.91,-0.46,49.92
h12_z0.5_f5_p8,1,2,2,2,0.5,5,40.0,20,9,0,2.0,8,default54,661,-11.48,-36.38,-0.131,-8.71,-17.8,-0.412,49.92
h12_z0.5_f5_p10,1,2,2,2,0.5,5,40.0,20,9,0,2.0,10,default54,661,-12.69,-34.35,-0.154,-5.27,-16.57,-0.267,49.92
h12_z1.0_f1_p5,1,2,2,2,1.0,1,40.0,20,9,0,2.0,5,default54,112,46.79,-22.09,0.754,-22.24,-30.31,-0.626,54.46
h12_z1.0_f1_p8,1,2,2,2,1.0,1,40.0,20,9,0,2.0,8,default54,112,36.78,-25.68,0.522,-19.59,-25.93,-0.642,54.46
h12_z1.0_f1_p10,1,2,2,2,1.0,1,40.0,20,9,0,2.0,10,default54,112,33.0,-29.66,0.409,-23.57,-28.3,-0.711,54.46
h12_z1.0_f3_p5,1,2,2,2,1.0,3,40.0,20,9,0,2.0,5,default54,413,5.45,-29.71,0.072,-13.11,-25.54,-0.434,49.88
h12_z1.0_f3_p8,1,2,2,2,1.0,3,40.0,20,9,0,2.0,8,default54,413,0.9,-31.15,0.012,-8.76,-23.13,-0.319,49.88
h12_z1.0_f3_p10,1,2,2,2,1.0,3,40.0,20,9,0,2.0,10,default54,413,1.42,-32.23,0.018,-8.91,-24.69,-0.304,49.88
h12_z1.0_f5_p5,1,2,2,2,1.0,5,40.0,20,9,0,2.0,5,default54,551,2.46,-31.63,0.031,-6.29,-17.85,-0.296,47.55
h12_z1.0_f5_p8,1,2,2,2,1.0,5,40.0,20,9,0,2.0,8,default54,551,2.35,-31.76,0.029,-11.08,-21.58,-0.433,47.55
h12_z1.0_f5_p10,1,2,2,2,1.0,5,40.0,20,9,0,2.0,10,default54,551,-0.76,-30.76,-0.01,-8.55,-21.88,-0.329,47.55
h12_z1.5_f1_p5,1,2,2,2,1.5,1,40.0,20,9,0,2.0,5,default54,83,19.92,-25.98,0.291,-15.34,-30.52,-0.426,51.81
h12_z1.5_f1_p8,1,2,2,2,1.5,1,40.0,20,9,0,2.0,8,default54,83,10.85,-29.69,0.142,-22.11,-29.72,-0.634,51.81
h12_z1.5_f1_p10,1,2,2,2,1.5,1,40.0,20,9,0,2.0,10,default54,83,9.0,-31.01,0.114,-21.85,-27.51,-0.677,51.81
h12_z1.5_f3_p5,1,2,2,2,1.5,3,40.0,20,9,0,2.0,5,default54,317,2.28,-32.56,0.028,-16.66,-31.6,-0.447,52.05
h12_z1.5_f3_p8,1,2,2,2,1.5,3,40.0,20,9,0,2.0,8,default54,317,2.57,-32.11,0.032,-12.57,-30.42,-0.349,52.05
h12_z1.5_f3_p10,1,2,2,2,1.5,3,40.0,20,9,0,2.0,10,default54,317,1.52,-31.98,0.019,-11.86,-26.83,-0.373,52.05
h12_z1.5_f5_p5,1,2,2,2,1.5,5,40.0,20,9,0,2.0,5,default54,419,8.84,-33.44,0.103,-12.5,-34.19,-0.309,48.93
h12_z1.5_f5_p8,1,2,2,2,1.5,5,40.0,20,9,0,2.0,8,default54,419,5.77,-35.45,0.064,-13.26,-29.67,-0.378,48.93
h12_z1.5_f5_p10,1,2,2,2,1.5,5,40.0,20,9,0,2.0,10,default54,419,4.9,-33.87,0.057,-12.66,-28.54,-0.375,48.93
h13_zoff_f1_p5,1,3,2,2,,1,40.0,20,9,0,2.0,5,default54,280,-2.89,-38.01,-0.031,-29.72,-37.43,-0.682,55.36
h13_zoff_f1_p8,1,3,2,2,,1,40.0,20,9,0,2.0,8,default54,280,-6.03,-41.6,-0.059,-22.31,-32.89,-0.578,55.36
h13_zoff_f1_p10,1,3,2,2,,1,40.0,20,9,0,2.0,10,default54,280,-5.34,-39.24,-0.055,-18.57,-31.96,-0.494,55.36
h13_zoff_f3_p5,1,3,2,2,,3,40.0,20,9,0,2.0,5,default54,782,35.29,-40.2,0.321,-6.24,-16.78,-0.312,49.62
