seed,solo_total,solo_mdd,solo_calmar,solo_vol,sent_w50_total,sent_w50_mdd,sent_w50_calmar,sent_w50_vol,sent_w60_total,sent_w60_mdd,sent_w60_calmar,sent_w60_vol,tech_w50_total,tech_w50_mdd,tech_w50_calmar,tech_w50_vol,tech_w60_total,tech_w60_mdd,tech_w60_calmar,tech_w60_vol
14,97.2387807223938,-23.78679869045911,0.8502007512089106,26.48808090311804,69.25874616540375,-15.088399507456085,1.0165615103263106,16.854997517696447,75.36054851898241,-15.041086727797614,1.0937533989127433,18.46449594897433,64.44190377337449,-14.529171515363215,0.9937845137628606,16.74457081244848,71.22206311174662,-16.377477312961407,0.9586052826259109,18.505638721736474
15,220.42892158236594,-27.26171742829354,1.3619922831554439,28.401946672198825,116.53070665361179,-14.877700919489556,1.566402969928922,17.838699931511773,135.45908584277498,-17.48263800205593,1.495115820622196,19.654694375606336,110.49828620136988,-15.885925513951571,1.407748205390371,17.618758704466398,130.03524851350195,-18.267746922325657,1.387362256051595,19.593451156181064
16,64.88292879041033,-30.04000014807825,0.48342237156385004,25.940144270201586,55.02959377571892,-16.725369508965837,0.7548051184690571,16.14732601397623,57.75622648261278,-18.74684194422026,0.7018836173030325,17.750203307737525,50.42160899426828,-14.871930773451481,0.7871655243799557,16.236835585933605,53.8398714617621,-17.85039894673066,0.6940671079109194,17.970403281628357
17,118.96098160396429,-32.92594707586106,0.71913540501617,26.902799426592672,79.06855027421578,-18.579815864290396,0.9210988156321326,16.537155091666286,87.44320648533821,-21.594609871344538,0.8601393407562107,18.259402181141397,73.70296677773638,-17.39203771105834,0.9286852953690481,16.65333113486206,82.7442496626394,-20.732873197824166,0.8566532376915932,18.498389164811314
18,125.45126138901979,-34.43519975102873,0.7161775261558536,27.2934429771079,81.65683812957163,-20.460858322521837,0.8587352665161672,16.921154369509413,90.7120954147791,-23.07275866034847,0.8291840142726686,18.662271713905486,76.38939084657044,-19.79175862395802,0.8405572309977061,16.878709403800514,86.11007827498361,-22.69534944981002,0.808320004056732,18.761291765766632
19,82.76138716181462,-41.411119067252336,0.4289639539009125,25.290537804342563,62.74846042069719,-25.145254312429056,0.5614617221065075,16.11425622400749,67.3434351635668,-28.42057525670979,0.5271854636767948,17.60829166012917,58.02333806036217,-23.365634977908744,0.5653611675594099,16.08629854366108,63.300227331211076,-27.06413040978002,0.5255250390838225,17.727679610618726
20,119.33664530407589,-29.854648994086176,0.795042524235825,24.502757881199294,78.45340475414729,-16.495699698470055,1.0308515996938568,15.378300575067888,86.86470288592285,-19.281071775091306,0.9581951847174948,16.825419937629853,73.2240777984031,-17.41666885008515,0.9223813817180091,15.382501618469838,82.30038768731359,-20.045083526974715,0.8821742224098795,16.979450707756694
21,192.2026320829533,-22.156595377807076,1.5229738873600291,25.18408980428473,105.63129785287325,-14.86603819515645,1.4522814705675715,16.159180662822966,121.60122890802465,-13.937688378041624,1.7277494442484815,17.629493918085625,99.862288681912,-13.928215765093688,1.4829667764850107,15.960443872735281,116.45661944146299,-15.603268150264082,1.4928304298806272,17.59982871124084
22,121.99712440207348,-31.83640236408427,0.758279860178122,25.20904854626774,79.5752562053399,-17.901764714505084,0.9610010176609032,15.87754274625616,88.26402621030375,-20.867650309295804,0.8968401090203416,17.386435515515462,74.41096298215683,-16.729075057254605,0.9731507506405905,15.78433867034798,83.7635471981212,-19.967617411746218,0.8983860563841003,17.45101991532997
23,60.940704144517866,-28.56040395891808,0.48224041948995505,24.6073670023432,52.723595402303914,-15.468082245730141,0.7866299068495376,15.589693507351699,55.052092575037115,-18.23684315330122,0.6924897129359279,17.02926300786329,48.28400477941766,-17.619094178358075,0.6398727062335807,15.557134434956641,51.30026966325336,-19.910794401676345,0.5968235188863918,17.1494951275897
