variant,label,signals,taken,win_pct,mean_pct,median_pct,beat_hold_pct,open_end,exposure_pct,total_pct,cagr_pct,vol_pct,mdd_pct,calmar,sharpe_like,rand_p10,rand_med,rand_p90
fear30,+贪恐闸门 ≤30,351,46,52.42165242165242,6.842278194760238,0.8439679630308117,34.75783475783476,106,87.61160714285714,-9.824822848087667,-2.7652557869484284,15.394024564242196,-31.164626562099997,-0.08873059272628404,-0.17963176396195094,0.7500848161029694,20.65992866807349,49.79158870464584
fear35,+贪恐闸门 ≤35,670,48,55.07462686567164,8.707169938253895,1.7518929438969377,39.40298507462687,194,88.95089285714286,-27.47564643685001,-8.342276551576433,17.526375065507906,-40.8114695972515,-0.20441009926626738,-0.4759841393554405,-15.945720132941476,-1.2893309545102594,32.71625318837752
fear45,+贪恐闸门 ≤45,2519,57,51.568082572449384,8.649664179193541,0.6850017394209207,40.01587931718936,745,99.66517857142857,21.98488641804479,5.536474095171595,25.797654196217852,-46.0577365071415,0.12020725539374118,0.21461153223703913,27.077036236133644,50.2906363134334,82.91269636710905
fear50,+贪恐闸门 ≤50,3602,56,48.22320932815103,5.6805987072272215,-0.7203253905510021,41.42143253747918,886,99.77678571428571,46.182893111792424,10.84421722125386,24.80165454791419,-42.440936898069445,0.25551314400288705,0.43723765284707006,19.58278493912049,48.25309849685453,77.06655769173685
sect_all64,+板块范围：全部 64 个板块,5530,53,52.20614828209765,9.0935101811677,1.0025043039384118,33.688969258589516,2371,96.42857142857143,94.00643088158557,19.686090814532477,23.90017312570759,-21.573942143403123,0.9124939097211812,0.8236798416057352,51.22314855398904,80.71223493073552,107.87886515650662
sect_industry,+板块范围：只用行业主题板块,1480,51,54.391891891891895,10.772909895558342,1.5660276472914014,39.7972972972973,478,96.42857142857143,120.75482029053344,23.952144578301706,25.7098692141936,-24.624458367938963,0.9726973166438206,0.9316322995948376,37.08251855143578,77.10302502807605,111.01858271881481
sect_none,+板块范围：不看板块,65920,63,48.63167475728155,7.689770873623591,-0.6489027646204293,36.9508495145631,13958,99.88839285714286,16.438557610522132,4.213189815734997,24.987164870869243,-34.20622256601168,0.12317027428574787,0.16861416001008,-5.8475866454317345,29.23872983382685,96.57290212531053
win1,+布防窗口 1 个交易日,1962,55,53.720693170234455,9.728880846952414,1.2553853046942898,38.02242609582059,662,96.42857142857143,96.85750793249017,20.160492968678014,24.684690795123302,-23.4251835607146,0.8606332973410861,0.8167204983852142,57.042526784909356,83.85264150968048,108.63930796508403
win3,+布防窗口 3 个交易日,2360,55,51.65254237288136,7.705381789219119,0.7259075844700869,36.652542372881356,765,96.42857142857143,99.20833608511712,20.547904092471224,24.368018622869293,-23.20031183133099,0.8856736168831228,0.8432324519477794,54.9688121790846,84.85154063963311,127.23260508123974
win5,+布防窗口 5 个交易日,2492,57,51.16372391653291,7.36861295383682,0.43899208076974006,36.75762439807384,809,96.42857142857143,57.599581414193125,13.127622587959543,23.80254207639761,-24.626705210279564,0.5330645117106396,0.5515218729925816,42.60748168115121,69.99362170161592,114.88105835513984
