index_code,trade_date,index_close,eligible_members,low9_share,high9_share,low7_9_share,high7_9_share,low9_weighted,high9_weighted,low7_9_weighted,high7_9_weighted,past20_return,forward_5d,forward_10d,forward_20d,metric,side,signed_forward_5d,signed_forward_10d,signed_forward_20d
H30217.CSI,2023-09-19,11534.266,86,0.0,0.0,0.011627906976744186,0.3953488372093023,0.0,0.0,0.0026899999384120106,0.49285999975992145,0.040679455,-0.008643746,-0.0049870014,-0.07707614,high7_9_share,high,0.008643746,0.0049870014,0.07707614
H30217.CSI,2023-11-23,11761.059,86,0.0,0.023255813953488372,0.0,0.09302325581395349,0.0,0.020759791837121674,0.0,0.045769541737020955,0.094475746,0.011575103,-0.016133308,-0.030195475,high7_9_share,high,-0.011575103,0.016133308,0.030195475
H30217.CSI,2024-03-05,10987.914,95,0.0,0.0,0.0,0.14736842105263157,0.0,0.0,0.0,0.20498794885446409,0.070038676,0.014429212,0.013875008,-0.034472108,high7_9_share,high,-0.014429212,-0.013875008,0.034472108
H30217.CSI,2024-03-19,11140.371,95,0.0,0.0,0.0,0.3368421052631579,0.0,0.0,0.0,0.15594843960441676,0.03700304,-0.041968107,-0.047685444,-0.101525605,high7_9_share,high,0.041968107,0.047685444,0.101525605
H30217.CSI,2024-10-08,12134.776,97,0.0,0.0,0.0,0.17525773195876287,0.0,0.0,0.0,0.16755659657081257,0.35056782,-0.17030507,-0.14223146,-0.13572061,high7_9_share,high,0.17030507,0.14223146,0.13572061
H30217.CSI,2024-10-28,10735.688,97,0.0,0.0,0.0,0.2268041237113402,0.0,0.0,0.0,0.13005959681278784,0.29222596,-0.043866277,0.020199776,-0.049990892,high7_9_share,high,0.043866277,-0.020199776,0.049990892
H30217.CSI,2024-11-13,10976.774,97,0.0,0.0,0.0,0.4742268041237113,0.0,0.0,0.0,0.43126862828891543,0.100904346,-0.022957802,-0.057564616,-0.031063557,high7_9_share,high,0.022957802,0.057564616,0.031063557
H30217.CSI,2025-02-12,9969.039,98,0.0,0.030612244897959183,0.0,0.1836734693877551,0.0,0.016320652898109293,0.0,0.08001320153239205,0.047736526,0.030874252,0.022551894,0.018554568,high7_9_share,high,-0.030874252,-0.022551894,-0.018554568
H30217.CSI,2025-05-13,9738.135,98,0.0,0.01020408163265306,0.0,0.15306122448979592,0.0,0.014009860071543511,0.0,0.33647663861035015,0.031546474,-0.0055550337,-0.0092253685,0.020122766,high7_9_share,high,0.0055550337,0.0092253685,-0.020122766
H30217.CSI,2025-06-09,9957.88,97,0.0,0.041237113402061855,0.0,0.35051546391752575,0.0,0.049768506959772384,0.0,0.21187364610639492,0.04714644,-0.027837753,-0.04625821,-0.022662222,high7_9_share,high,0.027837753,0.04625821,0.022662222
H30217.CSI,2025-07-18,10066.026,100,0.0,0.06,0.0,0.19,0.0,0.031539369239210274,0.0,0.1098578014178607,0.06817472,0.04607594,0.041345,0.087156415,high7_9_share,high,-0.04607594,-0.041345,-0.087156415
H30217.CSI,2025-08-12,10982.646,100,0.0,0.01,0.01,0.21,0.0,0.004020160913487784,0.004390175719484891,0.11734469366535252,0.118827105,0.017939568,0.03210914,0.022731304,high7_9_share,high,-0.017939568,-0.03210914,-0.022731304
H30217.CSI,2026-01-13,11044.178,103,0.0,0.0,0.0,0.6019417475728155,0.0,0.0,0.0,0.5489929415153377,0.11085415,-0.046359718,-0.035110176,-0.057732105,high7_9_share,high,0.046359718,0.035110176,0.057732105
H30217.CSI,2021-08-16,19425.402,54,0.0,0.0,0.25925925925925924,0.0,0.0,0.0,0.29678593576173873,0.0,-0.09901363,-0.08212376,-0.10703838,-0.120333254,low7_9_weighted,low,-0.08212376,-0.10703838,-0.120333254
H30217.CSI,2022-01-26,15106.686,66,0.015151515151515152,0.0,0.5,0.0,0.009230368978281656,0.0,0.3302332096083198,0.0,-0.118005276,-0.00799799,-0.010655582,0.005433798,low7_9_weighted,low,-0.00799799,-0.010655582,0.005433798
H30217.CSI,2022-04-28,12915.438,66,0.045454545454545456,0.015151515151515152,0.24242424242424243,0.015151515151515152,0.039580396750778866,0.01604016000824126,0.18336183343001453,0.01604016000824126,-0.09773743,0.03808844,0.031745315,0.035851717,low7_9_weighted,low,0.03808844,0.031745315,0.035851717
H30217.CSI,2022-08-25,13274.005,76,0.02631578947368421,0.0,0.2894736842105263,0.0,0.011650232965085496,0.0,0.2830056589139506,0.0,-0.050459504,0.0075587034,-0.007971346,-0.09982145,low7_9_weighted,low,0.0075587034,-0.007971346,-0.09982145
