index_code,metric,side,events,mean_5d,mean_10d,mean_20d,positive_20d
399971.SZ,low7_9_weighted,low,29,-0.010825203,-0.0017938984,-0.008292474,0.3448275862068966
399971.SZ,low9_share,low,30,-0.0030998825,-0.0028814315,-0.0061763744,0.36666666666666664
399975.SZ,high7_9_share,high,22,-0.025782965,-0.0144575,-0.016923694,0.36363636363636365
399975.SZ,high7_9_weighted,high,23,-0.031031769,-0.0064677624,-0.0147056915,0.43478260869565216
399975.SZ,high9_share,high,28,-0.014794522,0.0032424245,0.0072233314,0.6785714285714286
399975.SZ,low7_9_share,low,27,0.002807732,0.0034104872,0.0016620093,0.5925925925925926
399975.SZ,low7_9_weighted,low,29,-0.0004835622,0.002799402,0.0035244103,0.6206896551724138
399975.SZ,low9_share,low,37,0.0015612986,0.008784729,0.010441544,0.5405405405405406
399986.SZ,high7_9_share,high,20,-0.0021727711,0.0033703805,0.00033530593,0.45
399986.SZ,high7_9_weighted,high,21,-0.0036802548,0.0013777132,-0.0076304134,0.42857142857142855
399986.SZ,high9_share,high,27,0.0041133077,0.0114137335,-0.0007898079,0.48148148148148145
399986.SZ,low7_9_share,low,12,0.0147688985,0.019484296,0.023216376,0.75
399986.SZ,low7_9_weighted,low,16,0.0068848096,0.011649307,0.008004747,0.5625
399986.SZ,low9_share,low,25,0.0035390044,0.0087775085,0.011362285,0.52
399989.SZ,high7_9_share,high,25,0.013541086,0.020442875,0.018164488,0.56
399989.SZ,high7_9_weighted,high,25,-0.0009366035,0.005445576,0.00919472,0.48
399989.SZ,high9_share,high,31,-0.017255442,-0.002339913,0.00097586453,0.5161290322580645
399989.SZ,low7_9_share,low,37,-0.0034759336,-0.0067751585,-0.0089858705,0.40540540540540543
399989.SZ,low7_9_weighted,low,36,0.0020972837,-0.0056654713,-0.003936491,0.4444444444444444
399989.SZ,low9_share,low,48,-0.0024094817,-0.0032706931,-0.00027521327,0.3958333333333333
399995.SZ,high7_9_share,high,22,-0.001998961,-0.0043329108,0.0033947201,0.6363636363636364
399995.SZ,high7_9_weighted,high,22,0.0067415372,0.006341864,0.01224174,0.5454545454545454
399995.SZ,high9_share,high,32,0.0013043955,0.0035328697,0.007962694,0.5
399995.SZ,low7_9_share,low,25,0.00396481,-0.002592666,-0.0006581378,0.28
399995.SZ,low7_9_weighted,low,24,0.003573348,0.0015079752,0.010852451,0.4583333333333333
399995.SZ,low9_share,low,34,0.0012524286,0.0064780153,0.021016171,0.4411764705882353
399997.SZ,high7_9_share,high,15,0.008692912,0.022779047,0.023905361,0.6
399997.SZ,high7_9_weighted,high,17,0.0020641088,0.0025590237,0.01039295,0.47058823529411764
399997.SZ,low7_9_share,low,26,-0.006432437,0.013220294,-0.0038877726,0.4230769230769231
399997.SZ,low7_9_weighted,low,23,-0.005858883,0.011912727,-0.015975576,0.2608695652173913
399997.SZ,low9_share,low,38,-0.011003659,-0.0032783041,-0.025179537,0.34210526315789475
399998.SZ,high7_9_share,high,29,-0.0014816255,0.007448293,0.0026263637,0.5172413793103449
