index_code,trade_date,index_close,eligible_members,low9_share,high9_share,low7_9_share,high7_9_share,low9_weighted,high9_weighted,low7_9_weighted,high7_9_weighted
930606.CSI,2026-04-23,1168.7512,48,0.0,0.0,0.10416666666666667,0.08333333333333333,0.0,0.0,0.12791973057044947,0.053518773214772226
930606.CSI,2026-04-24,1163.508,48,0.10416666666666667,0.0,0.10416666666666667,0.041666666666666664,0.12791973057044947,0.0,0.12791973057044947,0.04506526244184961
930606.CSI,2026-04-27,1150.7764,48,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.025994544959411215,0.0
930606.CSI,2026-04-28,1149.7993,48,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0414926475932201,0.0
930606.CSI,2026-04-29,1175.1396,48,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.02198919104343177,0.005142552139425835
930606.CSI,2026-04-30,1156.3969,47,0.02127659574468085,0.0,0.10638297872340426,0.02127659574468085,0.02055869739391708,0.0,0.10583251174013544,0.0056151511603436555
930606.CSI,2026-05-06,1171.5833,47,0.0,0.02127659574468085,0.10638297872340426,0.02127659574468085,0.0,0.0056151511603436555,0.09020467930077092,0.0056151511603436555
930606.CSI,2026-05-07,1169.1411,47,0.02127659574468085,0.0,0.02127659574468085,0.06382978723404255,0.010898222382538954,0.0,0.010898222382538954,0.09441101078875447
930606.CSI,2026-05-08,1172.5287,48,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.04609138505841209,0.02573077160881374
930606.CSI,2026-05-11,1172.1514,48,0.0,0.020833333333333332,0.041666666666666664,0.041666666666666664,0.0,0.011320339368107396,0.04609138505841209,0.02573077160881374
930606.CSI,2026-05-12,1156.8212,48,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.04609138505841209,0.014410432240706343,0.04609138505841209,0.014410432240706343
930606.CSI,2026-05-13,1152.437,48,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.00582017480934863,0.0
930606.CSI,2026-05-14,1128.4856,48,0.0,0.0,0.041666666666666664,0.020833333333333332,0.0,0.0,0.010760322919735969,0.005090152766335255
930606.CSI,2026-05-15,1108.0105,48,0.020833333333333332,0.0,0.041666666666666664,0.041666666666666664,0.00582017480934863,0.0,0.010760322919735969,0.017290519131436106
930606.CSI,2026-05-18,1091.737,48,0.020833333333333332,0.020833333333333332,0.16666666666666666,0.041666666666666664,0.00494014811038734,0.005090152766335255,0.18326549486415206,0.017290519131436106
930606.CSI,2026-05-19,1089.3267,48,0.0,0.0,0.1875,0.020833333333333332,0.0,0.0,0.19255577412261074,0.013120394047353708
930606.CSI,2026-05-20,1075.7275,48,0.14583333333333334,0.0,0.4166666666666667,0.020833333333333332,0.1783253467537647,0.0,0.37113112992776137,0.013120394047353708
930606.CSI,2026-05-21,1052.3098,48,0.041666666666666664,0.020833333333333332,0.3958333333333333,0.020833333333333332,0.014230427368846044,0.013120394047353708,0.38620158897292045,0.013120394047353708
930606.CSI,2026-05-22,1055.7039,48,0.22916666666666666,0.0,0.5,0.0,0.17857535580515063,0.0,0.6240587191223975,0.0
930606.CSI,2026-05-25,1053.3888,48,0.08333333333333333,0.0,0.22916666666666666,0.0,0.14858445995467817,0.0,0.4212126351983956,0.0
930606.CSI,2026-05-26,1060.1522,48,0.041666666666666664,0.0,0.0625,0.0,0.11703350876800113,0.0,0.1314439410087075,0.0
930606.CSI,2026-05-27,1030.6495,48,0.0,0.0,0.0625,0.0,0.0,0.0,0.029880896648298603,0.0
930606.CSI,2026-05-28,1029.9248,48,0.020833333333333332,0.0,0.08333333333333333,0.0,0.014410432240706343,0.0,0.03497104941463386,0.0
930606.CSI,2026-05-29,1024.905,48,0.041666666666666664,0.0,0.10416666666666667,0.0,0.015080301271589,0.0,0.03197063929467991,0.0
930606.CSI,2026-06-01,1032.3373,48,0.020833333333333332,0.0,0.0625,0.0,0.006260125115054577,0.0,0.02669053368634489,0.0
930606.CSI,2026-06-02,1021.2469,48,0.020833333333333332,0.0,0.041666666666666664,0.0,0.005440109133710341,0.0,0.020430408571290314,0.0
930606.CSI,2026-06-03,1015.3085,48,0.020833333333333332,0.0,0.041666666666666664,0.020833333333333332,0.014990299437579973,0.0,0.025870517705000654,0.02013040285529914
930606.CSI,2026-06-04,1008.0719,48,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.05841116702558207,0.0
930606.CSI,2026-06-05,1009.0464,48,0.0,0.0,0.0625,0.0,0.0,0.0,0.07897157831222525,0.0
930606.CSI,2026-06-08,980.2187,48,0.041666666666666664,0.0,0.08333333333333333,0.0,0.05841116702558207,0.0,0.08418168282525233,0.0
930606.CSI,2026-06-09,985.5687,48,0.020833333333333332,0.0,0.0625,0.020833333333333332,0.02056041128664317,0.0,0.06863137104885873,0.006350126949063604
930606.CSI,2026-06-10,976.3179,48,0.020833333333333332,0.0,0.08333333333333333,0.0,0.005210104513027091,0.0,0.06201123859776804,0.0
930606.CSI,2026-06-11,975.0205,48,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.04290085911082416,0.0
930606.CSI,2026-06-12,1000.1586,48,0.020833333333333332,0.0,0.14583333333333334,0.0,0.007770155554506937,0.0,0.12115242632732742,0.0
930606.CSI,2026-06-15,1005.0682,48,0.0,0.0,0.0625,0.0,0.0,0.0,0.05738114895043081,0.0
930606.CSI,2026-06-16,992.2374,48,0.020833333333333332,0.0,0.041666666666666664,0.0,0.02013040285529914,0.0,0.03201064017602374,0.0
930606.CSI,2026-06-17,970.7995,48,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0118802373207246,0.013290265854846568
930606.CSI,2026-06-18,968.6945,48,0.020833333333333332,0.0,0.0625,0.020833333333333332,0.0118802373207246,0.0,0.03456069114618222,0.013290265854846568
930606.CSI,2026-06-22,977.9979,48,0.0,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.0,0.013290265854846568,0.02268045382545762,0.013290265854846568
930606.CSI,2026-06-23,955.6387,48,0.041666666666666664,0.0,0.041666666666666664,0.020833333333333332,0.02268045382545762,0.0,0.02268045382545762,0.04831096505027854
930606.CSI,2026-06-24,951.535,48,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.02310046218548029
930606.CSI,2026-06-25,931.5172,48,0.0,0.0,0.08333333333333333,0.041666666666666664,0.0,0.0,0.08625172381534321,0.014080282218285082
930606.CSI,2026-06-26,901.1231,48,0.0,0.020833333333333332,0.22916666666666666,0.020833333333333332,0.0,0.0032000639508644,0.3072561384474725,0.0032000639508644
930606.CSI,2026-06-29,905.5832,48,0.08333333333333333,0.0,0.5208333333333334,0.0,0.08625172381534321,0.0,0.48655972815785137,0.0
930606.CSI,2026-06-30,903.737,49,0.14285714285714285,0.0,0.4897959183673469,0.0,0.21655216714011163,0.0,0.4234342360342491,0.0
930606.CSI,2026-07-01,925.5861,49,0.20408163265306123,0.0,0.3469387755102041,0.0,0.10787107937070717,0.0,0.3192631922132698,0.0
930606.CSI,2026-07-02,931.5438,49,0.02040816326530612,0.0,0.02040816326530612,0.0,0.009910099045661891,0.0,0.009910099045661891,0.0
930606.CSI,2026-07-03,931.9361,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930606.CSI,2026-07-06,926.9945,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930606.CSI,2026-07-07,912.5047,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930606.CSI,2026-07-08,897.7367,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930606.CSI,2026-07-09,878.302,49,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.01838018435241117
930606.CSI,2026-07-10,886.927,49,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.006730067066419088
930606.CSI,2026-07-13,868.9144,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930606.CSI,2026-07-14,887.2654,49,0.0,0.0,0.061224489795918366,0.0,0.0,0.0,0.059420593792992825,0.0
930606.CSI,2026-07-15,901.0198,49,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.20536205449129402,0.0
930606.CSI,2026-07-16,892.8168,49,0.04081632653061224,0.0,0.16326530612244897,0.0,0.053300532720378394,0.0,0.20911209198336297,0.0
930606.CSI,2026-07-17,878.3613,49,0.10204081632653061,0.0,0.12244897959183673,0.0,0.15206152177091564,0.0,0.15581155926298457,0.0
930606.CSI,2026-07-20,882.3004,49,0.02040816326530612,0.0,0.04081632653061224,0.04081632653061224,0.00375003749206893,0.0,0.022130221844480102,0.024930249254426877
930606.CSI,2026-07-21,884.2705,49,0.0,0.0,0.02040816326530612,0.10204081632653061,0.0,0.0,0.01838018435241117,0.12608126093389407
