index_code,index_name,signal_mode,fear_start_date,fear_end_date,bottom_signals,top_signals,bottoms_with_members,candidate_stocks,volume_source
931009.CSI,建筑材料,ma5,2023-01-03,2026-08-28,8,18,8,55,proxy_etf:159745.SZ
931009.CSI,建筑材料,volume,2023-01-03,2026-08-28,2,7,2,55,proxy_etf:159745.SZ
931009.CSI,建筑材料,any,2023-01-03,2026-08-28,10,24,10,55,proxy_etf:159745.SZ
931151.CSI,光伏产业,ma5,2023-01-03,2026-08-28,11,15,11,69,proxy_etf:515790.SH
931151.CSI,光伏产业,volume,2023-01-03,2026-08-28,4,9,4,68,proxy_etf:515790.SH
931151.CSI,光伏产业,any,2023-01-03,2026-08-28,15,23,15,69,proxy_etf:515790.SH
931152.CSI,创新药,ma5,2023-01-03,2026-08-28,8,19,8,67,proxy_etf:515120.SH
931152.CSI,创新药,volume,2023-01-03,2026-08-28,4,6,4,67,proxy_etf:515120.SH
931152.CSI,创新药,any,2023-01-03,2026-08-28,11,25,11,67,proxy_etf:515120.SH
931160.CSI,通信设备,ma5,2023-01-03,2026-08-28,9,22,9,65,proxy_etf:515880.SH
931160.CSI,通信设备,volume,2023-01-03,2026-08-28,6,9,6,65,proxy_etf:515880.SH
931160.CSI,通信设备,any,2023-01-03,2026-08-28,15,31,15,65,proxy_etf:515880.SH
931230.CSI,汽车零部件,ma5,2023-01-03,2026-08-28,11,12,11,210,index_volume
931230.CSI,汽车零部件,volume,2023-01-03,2026-08-28,5,3,5,201,index_volume
931230.CSI,汽车零部件,any,2023-01-03,2026-08-28,16,15,16,210,index_volume
931743.CSI,半导体材料设备,ma5,2023-01-03,2026-08-28,3,22,3,55,index_volume
931743.CSI,半导体材料设备,volume,2023-01-03,2026-08-28,1,4,1,40,index_volume
931743.CSI,半导体材料设备,any,2023-01-03,2026-08-28,4,26,4,55,index_volume
931752.CSI,工程机械,ma5,2023-01-03,2026-08-28,4,19,4,70,index_volume
931752.CSI,工程机械,volume,2023-01-03,2026-08-28,0,8,0,0,index_volume
931752.CSI,工程机械,any,2023-01-03,2026-08-28,4,27,4,70,index_volume
931775.CSI,房地产,ma5,2023-01-03,2026-08-28,14,7,14,112,proxy_etf:512200.SH
931775.CSI,房地产,volume,2023-01-03,2026-08-28,2,1,2,94,proxy_etf:512200.SH
931775.CSI,房地产,any,2023-01-03,2026-08-28,16,8,16,113,proxy_etf:512200.SH
931994.CSI,电网设备,ma5,2023-04-27,2026-08-28,12,24,12,111,index_volume
931994.CSI,电网设备,volume,2023-04-27,2026-08-28,2,11,2,80,index_volume
931994.CSI,电网设备,any,2023-04-27,2026-08-28,14,34,14,111,index_volume
950162.CSI,科创芯片设计,ma5,2025-02-05,2026-08-28,2,8,2,53,proxy_etf:588780.SH
950162.CSI,科创芯片设计,volume,2025-02-05,2026-08-28,0,1,0,0,proxy_etf:588780.SH
950162.CSI,科创芯片设计,any,2025-02-05,2026-08-28,2,9,2,53,proxy_etf:588780.SH
980022.SZ,机器人产业,ma5,2023-01-03,2026-08-28,10,15,10,149,index_volume
980022.SZ,机器人产业,volume,2023-01-03,2026-08-28,4,2,4,118,index_volume
980022.SZ,机器人产业,any,2023-01-03,2026-08-28,14,17,14,149,index_volume
980028.SZ,龙头家电,ma5,2023-01-03,2026-08-28,8,9,8,39,proxy_etf:159730.SZ
980028.SZ,龙头家电,volume,2023-01-03,2026-08-28,1,9,1,30,proxy_etf:159730.SZ
980028.SZ,龙头家电,any,2023-01-03,2026-08-28,9,17,9,39,proxy_etf:159730.SZ
H30171.CSI,全指运输,ma5,2023-01-03,2026-08-28,17,20,17,114,index_volume
H30171.CSI,全指运输,volume,2023-01-03,2026-08-28,5,9,5,107,index_volume
H30171.CSI,全指运输,any,2023-01-03,2026-08-28,22,27,22,114,index_volume
H30184.CSI,半导体,ma5,2023-01-03,2026-08-28,3,16,3,116,proxy_etf:512480.SH
H30184.CSI,半导体,volume,2023-01-03,2026-08-28,3,9,3,97,proxy_etf:512480.SH
H30184.CSI,半导体,any,2023-01-03,2026-08-28,6,25,6,116,proxy_etf:512480.SH
H30198.CSI,油气产业,ma5,2023-01-03,2026-08-28,11,24,11,92,index_volume
H30198.CSI,油气产业,volume,2023-01-03,2026-08-28,3,15,3,68,index_volume
H30198.CSI,油气产业,any,2023-01-03,2026-08-28,14,38,14,92,index_volume
H30199.CSI,电力公用,ma5,2023-01-03,2026-08-28,8,20,8,69,index_volume
H30199.CSI,电力公用,volume,2023-01-03,2026-08-28,1,11,1,54,index_volume
H30199.CSI,电力公用,any,2023-01-03,2026-08-28,9,29,9,69,index_volume
H30202.CSI,全指软件,ma5,2023-01-03,2026-08-28,5,6,5,58,proxy_etf:515230.SH
H30202.CSI,全指软件,volume,2023-01-03,2026-08-28,0,2,0,0,proxy_etf:515230.SH
H30202.CSI,全指软件,any,2023-01-03,2026-08-28,5,7,5,58,proxy_etf:515230.SH
H30217.CSI,医疗器械,ma5,2023-01-03,2026-08-28,11,12,11,115,proxy_etf:159883.SZ
H30217.CSI,医疗器械,volume,2023-01-03,2026-08-28,4,6,4,113,proxy_etf:159883.SZ
H30217.CSI,医疗器械,any,2023-01-03,2026-08-28,15,18,15,115,proxy_etf:159883.SZ
H30269.CSI,红利低波,ma5,2023-01-03,2026-08-28,9,15,9,104,proxy_etf:512890.SH
H30269.CSI,红利低波,volume,2023-01-03,2026-08-28,5,7,5,68,proxy_etf:512890.SH
H30269.CSI,红利低波,any,2023-01-03,2026-08-28,14,22,14,104,proxy_etf:512890.SH
H30588.CSI,中证证保,ma5,2020-05-26,2026-08-28,4,6,4,51,proxy_etf:515630.SH
H30588.CSI,中证证保,volume,2020-05-26,2026-08-28,2,2,2,50,proxy_etf:515630.SH
H30588.CSI,中证证保,any,2020-05-26,2026-08-28,6,8,6,51,proxy_etf:515630.SH
